ID,Station_Name,River_Basin,County,Longitude,Latitude,ElevationFeet,Operator,OBJECTID,HR_NAME
FMT,FAIRMONT RESERVOIR,MOJAVE DESERT,LOS ANGELES,-118.433462,34.711777,"3,060",City of Los Angeles; Dept of Water and Power,22,South Lahontan
GLK,GEM  LAKE,MONO LAKE,MONO,-119.14,37.752,"9,054","Southern California Edison Company, Big Creek",22,South Lahontan
GNT,GRANT LAKE,MONO LAKE,MONO,-119.102,37.862,"7,140",City of Los Angeles; Dept of Water and Power,22,South Lahontan
HWE,HAIWEE,OWENS R,INYO,-117.948,36.137,"3,774",City of Los Angeles; Dept of Water and Power,22,South Lahontan
PVR,PLEASANT VALLEY RESERVOIR,OWENS R,INYO,-118.583576,37.423578,"4,400",City of Los Angeles; Dept of Water and Power,22,South Lahontan
SDB,SADDLEBAG LAKE RESERVOIR,MONO LAKE,MONO,-119.272,37.966,"10,090","Southern California Edison Company, Big Creek",22,South Lahontan
SLK,SOUTH LAKE,OWENS R,INYO,-118.56266,37.175903,"9,600",CA Dept of Water Resources/DFM-Hydro-SMN,22,South Lahontan
SLW,LAKE SILVERWOOD,MOJAVE R,SAN BERNARDINO,-117.318,34.304,"3,331",CA Dept of Water Resources/Operations and Maintenance,22,South Lahontan
TNM,TINEMAHA RESERVOIR,OWENS R,INYO,-118.225,37.058,"3,882",City of Los Angeles; Dept of Water and Power,22,South Lahontan
CTG,COURTRIGHT (PG&E),KINGS R,FRESNO,-118.967,37.072,"8,192",PG&E and Kings River Water Association,23,Tulare Lake
ISB,ISABELLA DAM,KERN R,KERN,-118.473,35.646,"2,635",US Army Corps of Engineers,23,Tulare Lake
PNF,PINE FLAT DAM,KINGS R,FRESNO,-119.325,36.833,970,US Army Corps of Engineers,23,Tulare Lake
SCC,SUCCESS DAM,TULE R,TULARE,-118.922,36.061,692,US Army Corps of Engineers,23,Tulare Lake
TRM,TERMINUS DAM,KAWEAH R,TULARE,-119.002,36.415,752,US Army Corps of Engineers,23,Tulare Lake
WSN,WISHON,KINGS R,FRESNO,-118.969,37.005,"6,560",PG&E and Kings River Water Association,23,Tulare Lake
GBR,GERBER,KLAMATH R,SISKIYOU,-121.13,42.205,"9,999",US Bureau of Reclamation,,
HVS,LAKE HAVASU,COLORADO R,SAN BERNARDINO,-114.156,34.317,451,US Bureau of Reclamation,,
KLM,UPPER KLAMATH,KLAMATH R,SISKIYOU,-121.815,42.25,"4,097",US Bureau of Reclamation,,
MEA,LAKE MEAD,COLORADO R,State of Arizona,-114.736,36.016,"3,700",US Bureau of Reclamation,,
MHV,LAKE MOHAVE,COLORADO R,State of Nevada,-114.567,35.197,644,US Bureau of Reclamation,,
PWL,LAKE POWELL,COLORADO R,State of Arizona,-111.493,36.937,"3,700",US Bureau of Reclamation,,
